category,origin,local
field_game_settings,"key","标识"
field_game_settings,"connection_screen","欢迎文字"
field_game_settings,"solo_mode","单人模式"
field_game_settings,"global_cd","公共CD"
field_game_settings,"auto_cast_skill_cd","自动施放技能CD"
field_game_settings,"player_reborn_cd","玩家重生CD"
field_game_settings,"npc_reborn_cd","NPC重生CD"
field_game_settings,"can_give_up_quests","允许放弃任务"
field_game_settings,"single_dialogue_sentence","单句传输模式"
field_game_settings,"auto_resume_dialogues","自动继续对话"
field_game_settings,"default_home_key","默认位置"
field_game_settings,"start_location_key","初始位置"
field_game_settings,"default_player_home_key","玩家默认位置"
field_game_settings,"default_player_model_key","默认玩家模型"
field_client_settings,"map_room_size","地图房间尺寸"
field_client_settings,"map_scale","地图比例"
field_client_settings,"show_command_box","是否可以输入命令"
field_client_settings,"can_close_dialogue","是否可以关闭对话"
field_class_categories,"key","标识"
field_class_categories,"name","名称"
field_class_categories,"desc","描述"
field_typeclasses,"key","标识"
field_typeclasses,"name","名称"
field_typeclasses,"path","路径"
field_typeclasses,"category","类别"
field_typeclasses,"desc","描述"
field_typeclasses,"can_loot","是否可以拾取"
field_equipment_types,"key","标识"
field_equipment_types,"name","名称"
field_equipment_types,"desc","描述"
field_equipment_positions,"key","标识"
field_equipment_positions,"name","名称"
field_equipment_positions,"desc","描述"
field_character_careers,"key","标识"
field_character_careers,"name","名称"
field_character_careers,"desc","描述"
field_quest_objective_types,"key","标识"
field_quest_objective_types,"name","名称"
field_quest_objective_types,"desc","描述"
field_event_types,"key","标识"
field_event_types,"name","名称"
field_event_types,"desc","描述"
field_event_trigger_types,"key","标识"
field_event_trigger_types,"name","名称"
field_event_trigger_types,"desc","描述"
field_quest_dependency_types,"key","标识"
field_quest_dependency_types,"name","名称"
field_quest_dependency_types,"desc","描述"
field_world_rooms,"key","标识"
field_world_rooms,"name","名称"
field_world_rooms,"typeclass","类型"
field_world_rooms,"desc","描述"
field_world_rooms,"position","位置"
field_world_exits,"key","标识"
field_world_exits,"name","名称"
field_world_exits,"typeclass","类型"
field_world_exits,"desc","描述"
field_world_exits,"verb","动作"
field_world_exits,"location","位置"
field_world_exits,"destination","目的地"
field_world_exits,"condition","条件"
field_exit_locks,"key","标识"
field_exit_locks,"unlock_condition","解锁条件"
field_exit_locks,"unlock_verb","解锁动作"
field_exit_locks,"locked_desc","锁定描述"
field_exit_locks,"auto_unlock","允许自动解锁"
field_world_objects,"key","标识"
field_world_objects,"name","名称"
field_world_objects,"typeclass","类型"
field_world_objects,"desc","描述"
field_world_objects,"location","位置"
field_world_objects,"condition","条件"
field_world_npcs,"key","标识"
field_world_npcs,"name","名称"
field_world_npcs,"typeclass","类型"
field_world_npcs,"desc","描述"
field_world_npcs,"location","位置"
field_world_npcs,"model","模版"
field_world_npcs,"level","等级"
field_world_npcs,"condition","条件"
field_object_creators,"key","标识"
field_object_creators,"loot_verb","拾取动作"
field_object_creators,"loot_condition","拾取条件"
field_creator_loot_list,"provider","提供者"
field_creator_loot_list,"object","掉落物品"
field_creator_loot_list,"number","掉落数量"
field_creator_loot_list,"odds","掉落概率"
field_creator_loot_list,"quest","任务条件"
field_creator_loot_list,"condition","掉落条件"
field_character_loot_list,"provider","提供者"
field_character_loot_list,"object","掉落物品"
field_character_loot_list,"number","掉落数量"
field_character_loot_list,"odds","掉落概率"
field_character_loot_list,"quest","任务条件"
field_character_loot_list,"condition","掉落条件"
field_quest_reward_list,"provider","提供者"
field_quest_reward_list,"object","掉落物品"
field_quest_reward_list,"number","掉落数量"
field_quest_reward_list,"odds","掉落概率"
field_quest_reward_list,"quest","任务条件"
field_quest_reward_list,"condition","掉落条件"
field_common_objects,"key","标识"
field_common_objects,"name","名称"
field_common_objects,"typeclass","类型"
field_common_objects,"desc","描述"
field_common_objects,"max_stack","最大堆叠"
field_common_objects,"unique","是否唯一"
field_foods,"key","标识"
field_foods,"name","名称"
field_foods,"typeclass","类型"
field_foods,"desc","描述"
field_foods,"max_stack","最大堆叠"
field_foods,"unique","是否唯一"
field_foods,"hp","生命值"
field_foods,"mp","魔法值"
field_character_models,"key","标识"
field_character_models,"name","名称"
field_character_models,"level","等级"
field_character_models,"max_exp","最大经验值"
field_character_models,"max_hp","最大生命"
field_character_models,"max_mp","最大魔法"
field_character_models,"attack","攻击力"
field_character_models,"defence","防御力"
field_character_models,"give_exp","提供经验"
field_common_characters,"key","标识"
field_common_characters,"name","名称"
field_common_characters,"typeclass","类型"
field_common_characters,"desc","描述"
field_common_characters,"model","模版"
field_common_characters,"level","等级"
field_skills,"key","标识"
field_skills,"name","名称"
field_skills,"typeclass","类型"
field_skills,"desc","描述"
field_skills,"cd","技能CD"
field_skills,"passive","被动技能"
field_skills,"condition","施放条件"
field_skills,"function","技能函数"
field_skills,"effect","技能效果"
field_default_skills,"character","角色模版"
field_default_skills,"skill","技能标识"
field_quests,"key","标识"
field_quests,"name","名称"
field_quests,"typeclass","类型"
field_quests,"desc","描述"
field_quests,"condition","接任务的条件"
field_quests,"action","完成任务后的动作"
field_npc_dialogues,"npc","NPC"
field_npc_dialogues,"dialogue","对话"
field_npc_dialogues,"default","是否为默认"
field_equipments,"key","标识"
field_equipments,"name","名称"
field_equipments,"typeclass","类型"
field_equipments,"desc","描述"
field_equipments,"max_stack","最大堆叠"
field_equipments,"unique","是否唯一"
field_equipments,"position","位置"
field_equipments,"type","类型"
field_equipments,"attack","攻击值"
field_equipments,"defence","防御值"
field_career_equipments,"career","职业"
field_career_equipments,"equipment","装备"
field_quest_objectives,"quest","任务"
field_quest_objectives,"ordinal","序号"
field_quest_objectives,"type","类型"
field_quest_objectives,"object","对象"
field_quest_objectives,"number","数量"
field_quest_objectives,"desc","描述"
field_quest_dependencies,"quest","任务"
field_quest_dependencies,"dependency","依赖任务"
field_quest_dependencies,"type","依赖类型"
field_dialogue_quest_dependencies,"dialogue","对话"
field_dialogue_quest_dependencies,"dependency","依赖任务"
field_dialogue_quest_dependencies,"type","依赖类型"
field_event_data,"key","标识"
field_event_data,"name","名称"
field_event_data,"type","类型"
field_event_data,"trigger_type","触发类型"
field_event_data,"trigger_obj","触发对象"
field_event_data,"condition","条件"
field_event_attacks,"key","事件"
field_event_attacks,"mob","攻击者"
field_event_attacks,"level","等级"
field_event_attacks,"odds","概率"
field_event_attacks,"desc","描述"
field_event_dialogues,"key","事件"
field_event_dialogues,"dialogue","对话"
field_event_dialogues,"npc","NPC"
field_dialogues,"key","标识"
field_dialogues,"name","名称"
field_dialogues,"condition","条件"
field_dialogue_relations,"dialogue","对话"
field_dialogue_relations,"next_dlg","后续"
field_dialogue_sentences,"dialogue","对话"
field_dialogue_sentences,"ordinal","序号"
field_dialogue_sentences,"speaker","说话者"
field_dialogue_sentences,"content","内容"
field_dialogue_sentences,"action","动作"
field_dialogue_sentences,"provide_quest","提供任务"
field_dialogue_sentences,"complete_quest","完成任务"
field_localized_strings,"category","类别"
field_localized_strings,"origin","原文"
field_localized_strings,"local","本地化"
