category,origin,local
help_game_settings,"key","标识"
help_game_settings,"connection_screen","欢迎文字会在用户连接到游戏的时候显示。"
help_game_settings,"solo_mode","在单人模式下，一个玩家不会看到其他的玩家。"
help_game_settings,"global_cd","施放技能的公共CD。"
help_game_settings,"auto_cast_skill_cd","系统自动施放技能的时间间隔，必须大于公共CD。"
help_game_settings,"player_reborn_cd","玩家死后重生的时间间隔，如果小于等于0，则玩家会立即重生。"
help_game_settings,"npc_reborn_cd","NPC死后重生的时间间隔，如果小于等于0，则NPC不会重生。"
help_game_settings,"can_give_up_quests","如果允许放弃任务，则玩家可以主动放弃任务。"
help_game_settings,"auto_resume_dialogues","如果允许自动继续对话，玩家在登入系统时会自动继续上次未完成的对话。"
help_game_settings,"default_home_key","所有物体的默认位置，如果物体的所在的房间被移除，则物体会自动移动到默认位置。如果为空，则设为数据表中的第一个房间。"
help_game_settings,"start_location_key","玩家初次进入系统时的位置。如果为空，则设为数据表中的第一个房间。"
help_game_settings,"default_player_home_key","玩家的默认位置，如果玩家死亡，则会自动移动到玩家默认位置。如果为空，则设为数据表中的第一个房间。"
help_game_settings,"default_player_model_key","默认选用的玩家模型。"
help_client_settings,"map_room_size",""
help_client_settings,"map_scale",""
help_client_settings,"show_command_box",""
help_client_settings,"can_close_dialogue",""
help_class_categories,"key",""
help_class_categories,"name",""
help_class_categories,"desc",""
help_typeclasses,"key",""
help_typeclasses,"name",""
help_typeclasses,"path",""
help_typeclasses,"category",""
help_typeclasses,"desc",""
help_typeclasses,"can_loot",""
help_equipment_types,"key",""
help_equipment_types,"name",""
help_equipment_types,"desc",""
help_equipment_positions,"key",""
help_equipment_positions,"name",""
help_equipment_positions,"desc",""
help_character_careers,"key",""
help_character_careers,"name",""
help_character_careers,"desc",""
help_quest_objective_types,"key",""
help_quest_objective_types,"name",""
help_quest_objective_types,"desc",""
help_event_types,"key",""
help_event_types,"name",""
help_event_types,"desc",""
help_event_trigger_types,"key",""
help_event_trigger_types,"name",""
help_event_trigger_types,"desc",""
help_quest_dependency_types,"key",""
help_quest_dependency_types,"name",""
help_quest_dependency_types,"desc",""
help_world_rooms,"key",""
help_world_rooms,"name",""
help_world_rooms,"typeclass",""
help_world_rooms,"desc",""
help_world_rooms,"position",""
help_world_exits,"key",""
help_world_exits,"name",""
help_world_exits,"typeclass",""
help_world_exits,"desc",""
