category,origin,local
field_game_settings,"game_name","游戏名称"
field_game_settings,"connection_screen","欢迎文字"
field_game_settings,"solo_mode","单人模式"
field_game_settings,"global_cd","公共CD"
field_game_settings,"auto_cast_skill_cd","自动施放技能CD"
field_game_settings,"can_give_up_quests","允许放弃任务"
field_game_settings,"start_location_key","玩家初始位置"
field_game_settings,"default_player_home_key","玩家默认位置"
field_game_settings,"default_player_character_key","默认玩家角色"
field_game_settings,"default_staff_character_key","默认管理员角色"
field_honour_settings,"min_honour_level","荣誉战斗最低等级"
field_honour_settings,"top_rankings_number","显示荣誉排名最高排名数"
field_honour_settings,"nearest_rankings_number","显示荣誉排名相邻排名数"
field_honour_settings,"honour_opponents_number","荣誉战斗匹配对手范围"
field_honour_settings,"max_honour_diff","最大荣誉匹配差异"
field_honour_settings,"preparing_time","战斗等待时间"
field_honour_settings,"match_interval","匹配间隔时间"
field_object,"key","标识"
field_object,"typeclass","类型"
field_object,"name","名称"
field_object,"desc","描述"
field_world_areas,"key","标识"
field_world_areas,"element_type","类型"
field_world_areas,"name","名称"
field_world_areas,"desc","描述"
field_world_areas,"icon","图标"
field_world_areas,"background","背景"
field_world_areas,"width","背景宽度"
field_world_areas,"height","背景高度"
field_world_rooms,"key","标识"
field_world_rooms,"element_type","类型"
field_world_rooms,"name","名称"
field_world_rooms,"desc","描述"
field_world_rooms,"icon","图标"
field_world_rooms,"area","区域"
field_world_rooms,"peaceful","和平区域"
field_world_rooms,"position","位置"
field_world_rooms,"background","背景"
field_world_exits,"key","标识"
field_world_exits,"element_type","类型"
field_world_exits,"name","名称"
field_world_exits,"desc","描述"
field_world_exits,"icon","图标"
field_world_exits,"verb","动作"
field_world_exits,"location","位置"
field_world_exits,"destination","目的地"
field_world_exits,"condition","条件"
field_world_objects,"key","标识"
field_world_objects,"element_type","类型"
field_world_objects,"name","名称"
field_world_objects,"desc","描述"
field_world_objects,"icon","图标"
field_world_objects,"location","位置"
field_world_objects,"action","动作"
field_world_objects,"condition","条件"
field_common_objects,"key","标识"
field_common_objects,"element_type","类型"
field_common_objects,"name","名称"
field_common_objects,"desc","描述"
field_common_objects,"icon","图标"
field_pocket_objects,"max_stack","最大堆叠"
field_pocket_objects,"unique","是否唯一"
field_pocket_objects,"can_remove","可移除"
field_pocket_objects,"can_discard","可丢弃"
field_foods,"key","标识"
field_skill_books,"key","标识"
field_skill_books,"skill","技能"
field_skill_books,"level","等级"
field_equipments,"key","标识"
field_equipments,"position","位置"
field_equipments,"type","类型"
field_characters,"key","标识"
field_characters,"element_type","类型"
field_characters,"name","名称"
field_characters,"desc","描述"
field_characters,"icon","图标"
field_characters,"level","等级"
field_characters,"reborn_time","重生时间"
field_characters,"relationship","关系值"
field_characters,"clone","克隆"
field_base_npcs,"key","标识"
field_common_npcs,"key","标识"
field_world_npcs,"key","标识"
field_world_npcs,"name","名称"
field_world_npcs,"desc","描述"
