category,origin,local
help_game_settings,"game_name","游戏的名称。"
help_game_settings,"connection_screen","欢迎文字会在用户连接到游戏的时候显示。"
help_game_settings,"solo_mode","在单人模式下，一个玩家不会看到其他的玩家。"
help_game_settings,"global_cd","施放技能的公共CD。"
help_game_settings,"auto_cast_skill_cd","系统自动施放技能的时间间隔，必须大于公共CD。"
help_game_settings,"can_give_up_quests","如果允许放弃任务，则玩家可以主动放弃任务。"
help_game_settings,"start_location_key","玩家初次进入系统时的位置。如果为空，则设为数据表中的第一个房间。"
help_game_settings,"default_player_home_key","玩家的默认位置，如果玩家死亡，则会自动移动到玩家默认位置。如果为空，则设为数据表中的第一个房间。"
help_game_settings,"default_player_character_key","默认选用的玩家角色。"
help_game_settings,"default_staff_character_key","默认选用的管理员角色。"
help_honour_settings,"min_honour_level","角色可以参加荣誉战斗的最低等级。"
help_honour_settings,"top_rankings_number","在客户端荣誉排名列表中显示前n名排名。"
help_honour_settings,"nearest_rankings_number","在客户端荣誉排名列表中显示和玩家相邻的n名排名。"
help_honour_settings,"honour_opponents_number","荣誉战斗匹配对手时，匹配和玩家排名相邻的n名对手。"
help_honour_settings,"max_honour_diff","荣誉战斗可匹配的对手的最大荣誉差异"
help_honour_settings,"preparing_time","确认荣誉战斗后等待战斗开始的时间，单位为秒。"
help_honour_settings,"match_interval","两次荣誉战斗匹配之间的间隔时间，单位为秒。"
help_object,"key","物体的唯一标识，必须在所有物体中保持唯一。"
help_object,"typeclass","物体的类型。"
help_object,"name","物体的名称。"
help_object,"desc","物体的描述信息。"
help_world_areas,"key","区域的标识，必须在所有物体中保持唯一。"
help_world_areas,"background","区域地图的背景图片。"
help_world_areas,"width","背景图片的宽度（单位：像素）。"
help_world_areas,"height","背景图片的高度（单位：像素）。"
help_world_rooms,"key","房间的标识，必须在所有物体中保持唯一。"
help_world_rooms,"peaceful","玩家不能在和平区域里攻击其他玩家。"
help_world_rooms,"location","房间所在的区域。"
help_world_rooms,"position","房间位置的坐标，格式：(x坐标, y坐标)。"
help_world_rooms,"icon","游戏中显示的图标。"
help_world_rooms,"background","游戏中显示的房间背景图片。"
help_world_exits,"key","出口的标识，必须在所有物体中保持唯一。"
help_world_exits,"verb","走进出口时的动作的名字。游戏中会显示出这个动作，让玩家点击。"
help_world_exits,"location","出口入口所在的房间，玩家可以在这个房间里看到出口。"
help_world_exits,"destination","出口通往的房间，玩家在穿过出口后到达的房间。"
help_world_exits,"condition","满足这个条件时，出口会显示在房间中。"
help_world_objects,"key","物体的标识，必须在所有物体中保持唯一。"
help_world_objects,"location","物体所在的房间。"
help_world_objects,"action","对物体执行的动作。"
help_world_objects,"condition","满足这个条件时，物体会在房间中显示出来。"
help_world_objects,"icon","游戏中显示的图标。"
help_common_objects,"key","普通物品的标识，必须在所有物体中保持唯一。"
help_common_objects,"max_stack","在玩家行囊中每堆该物品的最大堆叠数量。"
help_common_objects,"unique","该物品是否唯一，玩家是否可以拥有多于一堆的该物品。"
help_common_objects,"can_remove","当物品数量为零时是否可以从背包中移除。"
help_common_objects,"can_discard","物品是否可以被丢弃。"
help_common_objects,"icon","游戏中显示的图标。"
help_foods,"key","食物的标识，必须在所有物体中保持唯一。"
help_skill_books,"key","技能书的标识，必须在所有物体中保持唯一。"
help_skill_books,"skill","提供的技能。"
help_equipments,"key","装备的标识，必须在所有物体中保持唯一。"
help_equipments,"position","装备的位置。"
help_equipments,"type","装备的类型。"
help_characters,"key","角色的标识，必须在所有物体中保持唯一。"
help_characters,"level","角色的等级。"
help_characters,"reborn_time","角色死后重生的时间，单位为秒，为0则不会重生。"
help_characters,"relationship","角色的默认关系值。大于0为友好，等于0为中立，小于0为敌对。默认情况下玩家只能攻击中立和敌对的角色。"
help_characters,"icon","游戏中显示的图标。"
help_characters,"clone","克隆其他角色的自定义属性。"
help_base_npcs,"key","NPC的标识，必须在所有物体中保持唯一。"
help_common_npcs,"key","普通角色的标识，必须在所有物体中保持唯一。普通角色可以在游戏世界中重复出现。"
help_world_npcs,"key","NPC的标识，必须在所有物体中保持唯一。"
help_world_npcs,"location","NPC初始所在的房间。"
help_world_npcs,"condition","满足这个条件时，NPC会在房间中显示出来。"
help_player_characters,"key","玩家角色的标识，必须在所有物体中保持唯一。"
help_shops,"key","商店的标识，必须在所有物体中保持唯一。"
help_shops,"verb","游戏中显示的打开商店的动作名称。"
help_shops,"condition","显示商店需要满足的条件，只有满足这个条件才能看到这个商店。"
help_shops,"icon","游戏中显示的图标。"
help_shop_goods,"key","商品的标识，必须在所有物体中保持唯一。"
help_shop_goods,"shop","商品所属商店的标识。"
help_shop_goods,"goods","商品的物品标识。"
help_shop_goods,"number","一次购买的数量。"
help_shop_goods,"price","商品价格。"
help_shop_goods,"unit","价格的单位（物品的标识）。"
help_shop_goods,"condition","商品销售需要满足的条件，只有满足这个条件才能在商店里看到这件商品。"
help_skills,"key","技能的标识，必须在所有物体中保持唯一。"
help_skills,"message","施放技能时显示的文字信息，支持颜色标记。转义：%c代表施放者的名字，%t代表目标的名字，%e代表技能的效果，%n代表技能的名字，%%代表%。"
help_skills,"cd","释放技能的CD。"
help_skills,"passive","是否是被动技能。"
help_skills,"condition","释放技能需要满足的条件，只有满足这个条件才能释放这个技能。"
help_skills,"function","技能调用的函数。"
help_skills,"icon","游戏中显示的图标。"
help_skills,"main_type","技能的类型标志，用于在自动施放技能时选择技能。"
help_skills,"sub_type","技能的类型标志，用于在自动施放技能时选择技能。"
help_quests,"key","任务的标识，必须在所有物体中保持唯一。"
help_quests,"condition","获取该任务需要满足的条件，只有满足这个条件才能获取这个任务。"
help_quests,"action","完成任务时执行的动作。"
help_exit_locks,"key","所关联的出口。"
help_exit_locks,"unlock_condition","满足这个条件时，锁可以打开。"
help_exit_locks,"unlock_verb","打开锁所需要的动作的名字。游戏中会显示出这个动作，让玩家点击。"
help_exit_locks,"locked_desc","当出口锁住的时候在游戏中显示出的名字。"
help_exit_locks,"auto_unlock","自动解锁的出口在满足条件时不需要玩家主动操作就可以自动解锁。"
help_exit_locks,"unlock_forever","玩家只要解锁一次出口，出口对这个玩家就永远解锁。"
help_object_creators,"key","这是物品生成器的附加数据，必须与某个物体关联。"
help_object_creators,"loot_verb","获取物品的动作名称。"
help_object_creators,"loot_condition","获取物品的条件，只有满足这个条件时才能获取物品。"
help_creator_loot_list,"provider","这是物品生成器列表的数据，必须与某个物品生成器关联。"
help_creator_loot_list,"object","生成的物品的标识，必须是某个物品的标识。"
help_creator_loot_list,"number","生成物品的数量。"
help_creator_loot_list,"odds","生成物品的概率，从 0.0 到 1.0。"
help_creator_loot_list,"quest","生成该物品所需的任务。当玩家正在执行该任务时才会生成该物品。"
help_creator_loot_list,"condition","生成该物品需要满足的条件，只有满足这个条件时才能生成该物品。"
help_character_loot_list,"provider","这是角色物品掉落列表的数据，必须与某个角色关联。"
help_character_loot_list,"object","掉落的物品的标识，必须是某个物品的标识。"
help_character_loot_list,"number","掉落物品的数量。"
help_character_loot_list,"odds","掉落物品的概率，从0到1。"
help_character_loot_list,"quest","掉落该物品所需的任务。当玩家正在执行该任务时才会掉落该物品。"
