category,origin,local
bricks,"Area","区域"
bricks,"Character","角色"
bricks,"Common Object","普通物品"
bricks,"Food","食物"
bricks,"Equipment","装备"
bricks,"Skill Book","技能书"
bricks,"Exit","出口"
bricks,"Locked Exit","有锁的出口"
bricks,"Monster","怪"
bricks,"General NPC","通用NPC"
bricks,"Neutral or Friendly NPC","中立或友善NPC"
bricks,"Object","通用物体"
bricks,"Object Creator","物品生成器"
bricks,"Player Character","玩家角色"
bricks,"Quest","任务"
bricks,"Reverse Exit","反向出口"
bricks,"Room","房间"
bricks,"Shop","商店"
bricks,"Goods","商品"
bricks,"Skill","技能"
bricks,"Two Way Exit","双向出口"
bricks,"World Object","世界物体"
