category,origin,local
event_actions,"Accept a Quest","接受任务"
event_actions,"Attack","攻击"
event_actions,"Close an Event","关闭事件"
event_actions,"Dialogue","对话"
event_actions,"Get Objects","获得物品"
event_actions,"Learn a Skill","学习技能"
event_actions,"Message","消息"
event_actions,"Room Interval Action","房间定时动作"
event_actions,"Turn in a Quest","交任务"
event_triggers,"On Arrive","到达时触发"
event_triggers,"On kill the Target","杀死目标时触发"
event_triggers,"On Die","死亡时触发"
event_triggers,"On Traverse An Exit","穿越出口时触发"
event_triggers,"On Finish a Dialogue","说完对话时触发"
