category,origin,local
models,"game_settings","游戏设置"
models,"class_categories","物体分类"
models,"typeclasses","类型"
models,"equipment_types","装备类型"
models,"equipment_positions","装备位置"
models,"character_careers","角色职业"
models,"quest_objective_types","任务目标类型"
models,"event_types","事件类型"
models,"event_trigger_types","事件触发器类型"
models,"quest_dependency_types","任务依赖类型"
models,"world_rooms","房间"
models,"world_exits","出口"
models,"exit_locks","出口锁"
models,"two_way_exits","双向出口"
models,"world_objects","世界物体"
models,"world_npcs","世界NPC"
models,"object_creators","物品生成器"
models,"creator_loot_list","物品生成表"
models,"character_loot_list","角色掉落表"
models,"quest_reward_list","任务奖励表"
models,"common_objects","普通物品"
models,"foods","食物"
models,"skill_books","技能书"
models,"character_models","角色模版"
models,"common_characters","普通角色"
models,"default_objects","角色默认物品"
models,"skills","技能"
models,"default_skills","角色默认技能"
models,"quests","任务"
models,"npc_dialogues","NPC对话"
models,"equipments","装备"
models,"career_equipments","职业装备"
models,"quest_objectives","任务目标"
models,"quest_dependencies","任务依赖关系"
models,"dialogue_quest_dependencies","对话－任务依赖关系"
models,"event_data","事件数据"
models,"event_attacks","攻击事件"
models,"event_dialogues","对话事件"
models,"dialogues","对话"
models,"dialogue_relations","对话关系"
models,"dialogue_sentences","对话句子"
models,"localized_strings","本地化字符串"
models,"image_resources","图像资源"
models,"icon_resources","图标资源"
models,"shops","商店"
models,"shop_goods","商品"
models,"npc_shops","NPC商店"
