category,origin,local
quest_status,"Quest Accepted","任务已接受"
quest_status,"Objectives Accomplished","任务目标已达成"
quest_status,"Can Not Provide Quest","不可提供任务"
quest_status,"Can Provide Quest","可提供任务"
quest_status,"Quest Finished","任务已结束"
quest_status,"Quest In Progress","任务进行中"
quest_status,"Quest Not Accepted","任务未接受"
quest_status,"Objectives Not Accomplished","任务目标未达成"
quest_status,"Quest Not Finished","任务未结束"
quest_objective,"Talk to someone. (The object is the NPC's key.)","和某人对话（对象为NPC的Key）"
quest_objective,"Arrive a room. (The object is the room's key.)","到达某个房间（对象为房间的Key）"
quest_objective,"Get some objects. (The object is the object's key.)","获得某些物品（对象为物品的Key）"
quest_objective,"Kill someone. (The object is the NPC's key.)","杀死某人（对象为NPC的Key）"
