category,origin,local
typeclasses,"Area","区域"
typeclasses,"Character","角色"
typeclasses,"Common Object","普通物品"
typeclasses,"Food","食物"
typeclasses,"Equipment","装备"
typeclasses,"Skill Book","技能书"
typeclasses,"Exit","出口"
typeclasses,"Locked Exit","有锁的出口"
typeclasses,"Monster","怪"
typeclasses,"General NPC","通用NPC"
typeclasses,"Neutral or Friendly NPC","中立或友善NPC"
typeclasses,"Object","通用物体"
typeclasses,"Object Creator","物品生成器"
typeclasses,"Player Character","玩家角色"
typeclasses,"Quest","任务"
typeclasses,"Reverse Exit","反向出口"
typeclasses,"Room","房间"
typeclasses,"Shop","商店"
typeclasses,"Goods","商品"
typeclasses,"Skill","技能"
typeclasses,"Two Way Exit","双向出口"
typeclasses,"World Object","世界物体"
