key,name,typeclass,desc,verb,location,destination,condition
exit_dock_tower,钟楼,CLASS_COMMON_EXIT,前往钟楼,前往,room_dock,room_tower,
exit_dock_market,市场,CLASS_COMMON_EXIT,前往市场,前往,room_dock,room_market,
exit_house_market,市场,CLASS_COMMON_EXIT,前往市场,前往,room_house,room_market,
exit_house_temple,破庙,CLASS_COMMON_EXIT,前往破庙,前往,room_house,room_temple,
exit_graveyard_temple,破庙,CLASS_COMMON_EXIT,前往破庙,前往,room_graveyard,room_temple,
exit_graveyard_tower,钟楼,CLASS_COMMON_EXIT,前往钟楼,前往,room_graveyard,room_tower,
exit_market_dock,码头,CLASS_COMMON_EXIT,前往码头,前往,room_market,room_dock,
exit_market_house,民宅,CLASS_COMMON_EXIT,前往民宅,前往,room_market,room_house,
exit_market_center,中央广场,CLASS_COMMON_EXIT,前往中央广场,前往,room_market,room_center,
exit_temple_house,民宅,CLASS_COMMON_EXIT,前往民宅,前往,room_temple,room_house,
exit_temple_graveyard,墓地,CLASS_COMMON_EXIT,前往墓地,前往,room_temple,room_graveyard,
exit_temple_center,中央广场,CLASS_COMMON_EXIT,前往中央广场,前往,room_temple,room_center,
exit_tower_graveyard,墓地,CLASS_COMMON_EXIT,前往墓地,前往,room_tower,room_graveyard,
exit_tower_dock,码头,CLASS_COMMON_EXIT,前往码头,前往,room_tower,room_dock,
exit_tower_center,中央广场,CLASS_COMMON_EXIT,前往中央广场,前往,room_tower,room_center,
exit_center_market,市场,CLASS_COMMON_EXIT,前往市场,前往,room_center,room_market,
exit_center_temple,破庙,CLASS_COMMON_EXIT,前往破庙,前往,room_center,room_temple,
exit_center_tower,钟楼,CLASS_COMMON_EXIT,前往钟楼,前往,room_center,room_tower,
