key,name,condition
dlg_hello,Hello,
dlg_alley_soliloquy,Wake Up,
dlg_street_find_survivor,Quest Find Survivor,
dlg_colorfulworld_find_survivor,Found Security Man,
dlg_colorfulworld_wu_01,Quest Find Key,
dlg_colorfulworld_wu_02,Key Not Found,
dlg_colorfulworld_wu_03,Key Found,
dlg_colorfulworld_wu_04,Bandage Not Found,
dlg_colorfulworld_wu_05,Bandage Found,
dlg_colorfulworld_wu_06,Find Screws,
dlg_colorfulworld_wu_07,Screws Not Found,
dlg_colorfulworld_wu_08,Screws Found,
dlg_colorfulworld_wu_09,Quest Kill Robots,
dlg_colorfulworld_wu_10,Robots Not Killed,
dlg_colorfulworld_wu_11,Robots Killed,
dlg_colorfulworld_wu_12,Demo Finished,
