element,key,level,property,value
SKILL,skill_normal_hit,,mp,0
SKILL,skill_normal_heal,,mp,10
SKILL,skill_normal_hp,,mp,0
SKILL,skill_dunt,,mp,10
SKILL,skill_escape,,mp,0
EQUIPMENT,weapon_wood_stick,,attack,10
FOOD,food_bread,,hp,10
FOOD,food_apple,,mp,10
PLAYER_CHARACTER,player,1,max_hp,50
PLAYER_CHARACTER,player,1,max_mp,100
PLAYER_CHARACTER,player,1,max_exp,50
PLAYER_CHARACTER,player,1,give_exp,0
PLAYER_CHARACTER,player,1,attack,10
PLAYER_CHARACTER,player,1,defence,10
PLAYER_CHARACTER,player,2,max_hp,70
PLAYER_CHARACTER,player,2,max_mp,150
PLAYER_CHARACTER,player,2,max_exp,100
PLAYER_CHARACTER,player,2,give_exp,0
PLAYER_CHARACTER,player,2,attack,12
PLAYER_CHARACTER,player,2,defence,12
PLAYER_CHARACTER,player,3,max_hp,100
PLAYER_CHARACTER,player,3,max_mp,200
PLAYER_CHARACTER,player,3,max_exp,0
PLAYER_CHARACTER,player,3,give_exp,0
PLAYER_CHARACTER,player,3,attack,15
PLAYER_CHARACTER,player,3,defence,15
WORLD_NPC,npc_wu,1,max_hp,25
WORLD_NPC,npc_wu,1,max_mp,100
WORLD_NPC,npc_wu,1,max_exp,0
WORLD_NPC,npc_wu,1,give_exp,5
WORLD_NPC,npc_wu,1,attack,5
WORLD_NPC,npc_wu,1,defence,5
WORLD_NPC,npc_stranger,1,max_hp,25
WORLD_NPC,npc_stranger,1,max_mp,100
WORLD_NPC,npc_stranger,1,max_exp,0
WORLD_NPC,npc_stranger,1,give_exp,5
WORLD_NPC,npc_stranger,1,attack,5
WORLD_NPC,npc_stranger,1,defence,5
WORLD_NPC,npc_doll,1,max_hp,10
WORLD_NPC,npc_doll,1,max_mp,100
WORLD_NPC,npc_doll,1,max_exp,0
WORLD_NPC,npc_doll,1,give_exp,5
WORLD_NPC,npc_doll,1,attack,5
WORLD_NPC,npc_doll,1,defence,5
COMMON_NPC,robot_mob_A,2,max_hp,20
COMMON_NPC,robot_mob_A,2,max_mp,100
COMMON_NPC,robot_mob_A,2,max_exp,0
COMMON_NPC,robot_mob_A,2,give_exp,10
COMMON_NPC,robot_mob_A,2,attack,5
COMMON_NPC,robot_mob_A,2,defence,5
COMMON_NPC,robot_mob_B,3,max_hp,30
COMMON_NPC,robot_mob_B,3,max_mp,120
COMMON_NPC,robot_mob_B,3,max_exp,0
COMMON_NPC,robot_mob_B,3,give_exp,15
COMMON_NPC,robot_mob_B,3,attack,10
COMMON_NPC,robot_mob_B,3,defence,10
