category,origin,local
field_game_settings,"game_name","游戏名称"
field_game_settings,"connection_screen","欢迎文字"
field_game_settings,"solo_mode","单人模式"
field_game_settings,"global_cd","公共CD"
field_game_settings,"auto_cast_skill_cd","自动施放技能CD"
field_game_settings,"can_give_up_quests","允许放弃任务"
field_game_settings,"can_close_dialogue","是否可以关闭对话"
field_game_settings,"single_dialogue_sentence","单句传输模式"
field_game_settings,"auto_resume_dialogues","自动继续对话"
field_game_settings,"default_home_key","默认位置"
field_game_settings,"start_location_key","初始位置"
field_game_settings,"default_player_home_key","玩家默认位置"
field_game_settings,"default_player_character_key","默认玩家角色"
field_game_settings,"map_room_size","地图房间尺寸"
field_game_settings,"map_scale","地图比例"
field_class_categories,"key","标识"
field_class_categories,"name","名称"
field_class_categories,"desc","描述"
field_typeclasses,"key","标识"
field_typeclasses,"name","名称"
field_typeclasses,"path","路径"
field_typeclasses,"category","类别"
field_typeclasses,"desc","描述"
field_typeclasses,"can_loot","是否可以拾取"
field_equipment_types,"key","标识"
field_equipment_types,"name","名称"
field_equipment_types,"desc","描述"
field_equipment_positions,"key","标识"
field_equipment_positions,"name","名称"
field_equipment_positions,"desc","描述"
field_character_careers,"key","标识"
field_character_careers,"name","名称"
field_character_careers,"desc","描述"
field_quest_objective_types,"key","标识"
field_quest_objective_types,"name","名称"
field_quest_objective_types,"desc","描述"
field_event_types,"key","标识"
field_event_types,"name","名称"
field_event_types,"desc","描述"
field_event_trigger_types,"key","标识"
field_event_trigger_types,"name","名称"
field_event_trigger_types,"desc","描述"
field_quest_dependency_types,"key","标识"
field_quest_dependency_types,"name","名称"
field_quest_dependency_types,"desc","描述"
field_world_areas,"key","标识"
field_world_areas,"name","名称"
field_world_areas,"typeclass","类型"
field_world_areas,"desc","描述"
field_world_areas,"background","背景"
field_world_areas,"background_point","背景对应点"
field_world_areas,"corresp_map_pos","地图对应点"
field_world_rooms,"key","标识"
field_world_rooms,"name","名称"
field_world_rooms,"typeclass","类型"
field_world_rooms,"desc","描述"
field_world_rooms,"peaceful","和平区域"
field_world_rooms,"location","区域"
field_world_rooms,"position","位置"
field_world_rooms,"icon","图标"
field_world_rooms,"background","背景"
field_world_exits,"key","标识"
field_world_exits,"name","名称"
field_world_exits,"typeclass","类型"
field_world_exits,"desc","描述"
field_world_exits,"verb","动作"
field_world_exits,"location","位置"
field_world_exits,"destination","目的地"
field_world_exits,"condition","条件"
field_exit_locks,"key","标识"
field_exit_locks,"unlock_condition","解锁条件"
field_exit_locks,"unlock_verb","解锁动作"
field_exit_locks,"locked_desc","锁定描述"
field_exit_locks,"auto_unlock","允许自动解锁"
field_two_way_exits,"key","标识"
field_two_way_exits,"reverse_name","反向出口名"
field_world_objects,"key","标识"
field_world_objects,"name","名称"
field_world_objects,"typeclass","类型"
field_world_objects,"desc","描述"
field_world_objects,"location","位置"
field_world_objects,"condition","条件"
field_world_objects,"icon","图标"
