category,origin,local
help_game_settings,"game_name","游戏的名称。"
help_game_settings,"connection_screen","欢迎文字会在用户连接到游戏的时候显示。"
help_game_settings,"solo_mode","在单人模式下，一个玩家不会看到其他的玩家。"
help_game_settings,"global_cd","施放技能的公共CD。"
help_game_settings,"auto_cast_skill_cd","系统自动施放技能的时间间隔，必须大于公共CD。"
help_game_settings,"can_give_up_quests","如果允许放弃任务，则玩家可以主动放弃任务。"
help_game_settings,"can_close_dialogue","玩家是否可以主动关闭对话框。"
help_game_settings,"auto_resume_dialogues","如果允许自动继续对话，玩家在登入系统时会自动继续上次未完成的对话。"
help_game_settings,"default_home_key","所有物体的默认位置，如果物体的所在的房间被移除，则物体会自动移动到默认位置。如果为空，则设为数据表中的第一个房间。"
help_game_settings,"start_location_key","玩家初次进入系统时的位置。如果为空，则设为数据表中的第一个房间。"
help_game_settings,"default_player_home_key","玩家的默认位置，如果玩家死亡，则会自动移动到玩家默认位置。如果为空，则设为数据表中的第一个房间。"
help_game_settings,"default_player_character_key","默认选用的玩家角色。"
help_game_settings,"map_room_size","在网页地图中房间方块的大小。"
help_game_settings,"map_scale","地图比例尺寸。"
help_class_categories,"key","类别的标识，必须唯一。"
help_class_categories,"name","类别的名称，必须唯一。"
help_class_categories,"desc","详细信息。"
help_typeclasses,"key","类型类的标识，必须唯一。"
help_typeclasses,"name","类型类的名称，必须唯一。"
help_typeclasses,"path","类型类的路径，必须是这个类的实际python路径。"
help_typeclasses,"category","该类型类所属的类别。"
help_typeclasses,"desc","详细信息。"
help_typeclasses,"can_loot","玩家是否可以拾取这个类型的物体。"
help_equipment_types,"key","装备类型的标识，必须唯一。"
help_equipment_types,"name","装备类型的名称，必须唯一。"
help_equipment_types,"desc","详细信息。"
help_equipment_positions,"key","装备位置的标识，必须唯一。"
help_equipment_positions,"name","装备位置的名称，必须唯一。"
help_equipment_positions,"desc","详细信息。"
help_character_careers,"key","职业的标识，必须唯一。"
help_character_careers,"name","职业的名称，必须唯一。"
help_character_careers,"desc","详细信息。"
help_quest_objective_types,"key","任务目标类型的标识，必须唯一。"
help_quest_objective_types,"name","任务目标类型的名称，必须唯一。"
help_quest_objective_types,"desc","详细信息。"
help_event_types,"key","事件类型的标识，必须唯一。"
help_event_types,"name","事件类型的名称，必须唯一。"
help_event_types,"desc","详细信息。"
help_event_trigger_types,"key","事件触发类型的标识，必须唯一。"
help_event_trigger_types,"name","事件触发类型的名称，必须唯一。"
help_event_trigger_types,"desc","详细信息。"
help_quest_dependency_types,"key","任务依赖类型的标识，必须唯一。"
help_quest_dependency_types,"name","任务依赖类型的名称，必须唯一。"
help_quest_dependency_types,"desc","详细信息。"
help_world_areas,"key","区域的标识，必须在所有数据中保持唯一。"
help_world_areas,"name","游戏中显示出的区域名称。"
help_world_areas,"typeclass","区域的类型。"
help_world_areas,"desc","游戏中显示出的区域描述信息。"
help_world_areas,"background","区域在地图中显示的背景图。"
help_world_areas,"background_point","背景图片上的对应点的坐标，格式：(x坐标, y坐标)。地图上的对应点会对齐到背景图片的对应点坐标处。"
help_world_areas,"corresp_map_pos","地图中对应点的坐标，格式：(x坐标, y坐标)。地图上的对应点会对齐到背景图片的对应点坐标处。"
help_world_rooms,"key","房间的标识，必须在所有数据中保持唯一。"
help_world_rooms,"name","游戏中显示出的房间名称。"
help_world_rooms,"typeclass","房间的类型。"
help_world_rooms,"desc","游戏中显示出的房间描述信息。"
help_world_rooms,"peaceful","玩家不能在和平区域里攻击。"
help_world_rooms,"location","房间所在的区域。"
help_world_rooms,"position","房间位置的坐标，格式：(x坐标, y坐标)。"
help_world_rooms,"icon","游戏中显示的图标。"
help_world_rooms,"background","游戏中显示的房间背景图片。"
help_world_exits,"key","出口的标识，必须在所有数据中保持唯一。"
help_world_exits,"name","游戏中显示出的出口名称。"
help_world_exits,"typeclass","出口的类型。双向出口只需要设置两端的房间。"
help_world_exits,"desc","游戏中显示的出口描述信息。"
help_world_exits,"verb","走进出口时的动作的名字。游戏中会显示出这个动作，让玩家点击。"
help_world_exits,"location","出口入口所在的房间，玩家可以在这个房间里看到出口。"
help_world_exits,"destination","出口通往的房间，玩家在穿过出口后到达的房间。"
help_world_exits,"condition","满足这个条件时，出口会显示在房间中。"
help_exit_locks,"key","所关联的出口。"
help_exit_locks,"unlock_condition","满足这个条件时，锁可以打开。"
help_exit_locks,"unlock_verb","打开锁所需要的动作的名字。游戏中会显示出这个动作，让玩家点击。"
help_exit_locks,"locked_desc","当出口锁住的时候在游戏中显示出的名字。"
help_exit_locks,"auto_unlock","自动解锁的出口在满足条件时不需要玩家主动操作就可以自动解锁。"
help_two_way_exits,"key","所关联的出口。"
help_two_way_exits,"reverse_name","反向出口在游戏中显示出的出口名称。"
help_world_objects,"key","物体的标识，必须在所有数据中保持唯一。"
help_world_objects,"name","游戏中显示出的物体名称。"
help_world_objects,"typeclass","物体的类型。"
help_world_objects,"desc","游戏中显示的物体描述信息。"
help_world_objects,"location","物体所在的房间。"
help_world_objects,"condition","满足这个条件时，物体会在房间中显示出来。"
help_world_objects,"icon","游戏中显示的图标。"
help_world_npcs,"key","NPC的标识，必须在所有数据中保持唯一。"
help_world_npcs,"name","游戏中显示出的NPC名称。"
help_world_npcs,"typeclass","NPC的类型。"
help_world_npcs,"desc","游戏中显示的NPC描述信息。"
help_world_npcs,"location","NPC初始所在的房间。"
help_world_npcs,"model","NPC的角色模版。如果这一项为空，则会按照NPC的标识名查找模版。"
help_world_npcs,"level","NPC的等级。"
help_world_npcs,"reborn_time","NPC死后重生的时间，如果等于0，则不会重生。"
help_world_npcs,"condition","满足这个条件时，NPC会在房间中显示出来。"
help_world_npcs,"icon","游戏中显示的图标。"
help_object_creators,"key","这是物品生成器的附加数据，必须与某个物体关联。"
help_object_creators,"loot_verb","获取物品的动作名称。"
help_object_creators,"loot_condition","获取物品的条件，只有满足这个条件时才能获取物品。"
help_creator_loot_list,"provider","这是物品生成器列表的数据，必须与某个物品生成器关联。"
help_creator_loot_list,"object","生成的物品的标识，必须是某个物品的标识。"
help_creator_loot_list,"number","生成物品的数量。"
help_creator_loot_list,"odds","生成物品的概率，从0到1。"
help_creator_loot_list,"quest","生成该物品所需的任务。当玩家正在执行该任务时才会生成该物品。"
help_creator_loot_list,"condition","生成该物品需要满足的条件，只有满足这个条件时才能生成该物品。"
help_character_loot_list,"provider","这是角色物品掉落列表的数据，必须与某个角色关联。"
help_character_loot_list,"object","掉落的物品的标识，必须是某个物品的标识。"
help_character_loot_list,"number","掉落物品的数量。"
help_character_loot_list,"odds","掉落物品的概率，从0到1。"
help_character_loot_list,"quest","掉落该物品所需的任务。当玩家正在执行该任务时才会掉落该物品。"
help_character_loot_list,"condition","掉落该物品需要满足的条件，只有满足这个条件时才能掉落该物品。"
help_quest_reward_list,"provider","这是任务获取物品列表的数据，必须与某个任务关联。"
help_quest_reward_list,"object","获取的物品的标识，必须是某个物品的标识。"
help_quest_reward_list,"number","获取物品的数量。"
help_quest_reward_list,"odds","获取物品的概率，从0到1。"
help_quest_reward_list,"quest","获取该物品所需的任务。当玩家正在执行该任务时才会获取该物品。"
