category,origin,local
,"Equipped!","已装备！"
,"You have no location to look at!","你没有看任何地方！"
,"Can not find '%s'.","无法找到'%s'"
,"Should appoint an exit to go.","必须指定要去的出口。"
,"TALK","对话"
,"Talk","对话"
,"Can not find it.","无法找到它。"
,"You should talk to someone.","你需要指定想要交谈的对象。"
,"Can not find the one to talk.","无法找到交谈的对象。"
,"You should loot something.","你需要指定想要获取的东西。"
,"Can not find the object to loot.","无法找到获取的东西。"
,"You should use something.","你需要指定想要使用的东西。"
,"You don't have this object.","你没有这件东西。"
,"No result.","无效果。"
,"EQUIP","装备"
,"Equip","装备"
,"You should equip something.","你需要指定想要装备的东西。"
,"You don't have this equipment.","你没有这件装备。"
,"Can not equip it on this position.","不能装备在这个位置。"
,"Can not find this equipment.","无法找到这件装备。"
,"Can not use this equipment.","无法使用这件装备。"
,"Can not equip %s.","无法装备%s。"
,"TAKE OFF","取下"
,"Take Off","取下"
,"You should take off something.","你需要指定想要取下的东西。"
,"Can not take off %s.","无法取下%s。"
,"Can not take off this equipment.","无法取下这件装备。"
,"Taken off!","已取下！"
,"{c%s{n is not ready yet!","{c%s{n还没有准备好！"
,"Can not find this skill!","无法找到该技能！"
,"Can not cast this skill!","无法施放该技能！"
,"{c%s{n is a passive skill!","{c%s{n是被动技能！"
,"CAST","施放"
,"Cast","施放"
,"You do not have this skill.","你没有这项技能。"
,"Can not learn this skill.","无法学习这项技能。"
,"You can not cast a passive skill.","不能施放被动技能。"
,"You have already learned this skill.","你已经学习过这项技能了。"
,"You learned skill {c%s{n.","你学会了技能{c%s{n。"
,"You learned skill.","你学会了技能。"
,"Talk to","对话"
,"Get","获取"
,"You should select a target.","你需要指定一个目标。"
,"You are in another combat.","你在另一场战斗中。"
,"You are not in combat!","你不在战斗中！"
,"%s is in another combat.","%s在另一场战斗中。"
,"LOOT","拾取"
,"Loot","拾取"
,"Can not get more %s.","无法获取更多%s。"
,"Can not get %s.","无法获取%s。"
,"Can not open this exit.","无法打开通道。"
,"UNLOCK","打开"
,"Unlock","打开"
,"You should unlock something.","你需要指定打开的东西。"
,"Can not find this exit.","无法找到这个出口。"
,"Accepted quest {c%s{n.","接受任务{c%s{n。"
,"Completed quest {c%s{n.","完成任务{c%s{n。"
,"Quest {c%s{n's goals are accomplished.","任务{c%s{n目标已完成。"
,"You become {c%s{n.","你登录了{c%s{n。"
,"HP recovered by %s.","生命回复%s。"
,"USE","使用"
,"Use","使用"
,"Can not discard this object.","无法丢弃这件物品。"
,"DISCARD","丢弃"
,"Discard","丢弃"
,"Moving to %s ...","移动到%s。。。"
,"You died.","你死了。"
,"You are reborn at {c%s{n.","你在{c%s{n重生了。"
,"You will be reborn at {c%(p)s{n in {c%(s)s{n seconds.","你将在{c%(s)s{n秒后在{c%(p)s{n重生。"
,"Incorrect username or password.","错误的用户名或密码。"
,"ATTACK","攻击"
,"Attack","攻击"
,"You are died.","你已经死了。"
,"%s is died.","%s已经死了。"
,"You can not attack %s.","你无法攻击%s。"
,"Kill","杀死"
,"{c%s upgraded to level %s.{n","{c%s升到%s级。{n"
,"No effect.","没有效果。"
,"Can not find this quest.","无法找到该任务。"
,"Can not give up this quest.","无法放弃该任务。"
,"Given up!","已放弃！"
,"GIVE UP","放弃"
,"Give Up","放弃"
,"You are attacking {c%s{n! You are in combat.","你正在攻击{c%s{n！你进入了战斗。"
,"{c%s{n is attacking you! You are in combat.","{c%s{n正在攻击你！你进入了战斗。"
,"%(c)s tried to escape. ","%(c)s想要逃跑。"
,"%s hitted %s.","%s打了%s。"
,"%s lost %s HPs.","%s损失了%s点生命。"
,"%s healed %s HPs.","%s治疗了%s点生命。"
,"Data applied! The server is reloading.","数据已应用，服务器正在重载。"
,"%s has gone.","%s已经离开。"
,"Sorry, %s is not enough.","对不起，%s不足。"
,"Sorry, you can not take more %s.","对不起，您无法获得更多的%s。"
,"Sorry, there is already a player with the name '%s'.","对不起，已经有名为“%s”的用户了。"
,"You say, '%s'","你说：%s"
,"%s says, '%s'","%s说：%s"
,"You should choose a channel to say.","你需要选择一个说话频道。"
,"You should say something.","你需要说点什么。"
,"You can not say here.","你不能在这里说话。"
,"Cmd","命令"
,"Say","说话"
,"You can not attack in this place.","你不能在这里攻击。"
,"LEVEL","等级"
,"EXP","经验"
,"HP","生命"
,"Incorrect password.","密码错误。"
,"Please select a character","请选择一个角色。"
,"MAX EXP","最大经验值"
,"Can not cast this skill.","无法施放这个技能。"
,"You can not access this channel.","你无法使用这个频道。"
,"{rCould not unpuppet from {c%s{n: %s","{r无法登出角色 {c%s{n: %s"
,"You should select a skill to cast.","你必须选择一个技能来施放。"
,"Can not find this shop.","无法找到这个商店。"
,"{rA character named '{w%s{r' already exists.{n","{r名为'{w%s{r'的角色已经存在了。{n"
,"Not enough number.","数量不足。"
,"GOTO","前往"
,"{rYou cannot become {C%s{n: %s","{r你无法成为 {C%s{n: %s"
,"Character '%s' was permanently deleted.","角色 '%s' 已经被永久删除了。"
,"You should shopping in someplace.","你必须在某个地方购物。"
,"Can not buy this goods.","无法购买这个商品。"
,"You should puppet a character.","你必须操纵一个角色。"
,"That is not a valid character choice.","你选择的不是一个有效的角色。"
,"You may only create a maximum of %i characters.","你最多只能创建 %i 个角色。"
,"MAX HP","最大生命值。"
,"Name should not be empty.","名字不得为空。"
,"You should give up a quest.","你需要放弃一个任务。"
,"You can not talk in this channel.","你无法在这个频道中说话。"
,"Can not find this object.","无法找到这个物体。"
,"You should buy something.","你需要买某样东西。"
,"Can not find exit.","无法找到出口。"
,"You should discard something.","你需要丢弃某样东西。"
,"{RYou made too many connection attempts. Try again in a few minutes.{n","{R你尝试连接的次数过多，请在几分钟之后重试。{n"
,"Please input password.","请输入密码。"
,"Data applied.","数据已应用。"
,"You should give the character a name.","你需要给角色一个名字。"
,"Can not find this goods.","无法找到这件商品。"
,"There was an error creating the Player: %s","创建玩家时出错：%s"
,"You have no such character to delete.","你没有这个角色。"
,"Aborting - there are two characters with the same name. Ask an admin to delete the right one.","终止：你有两个同名的角色，请联系管理员删除其中的一个角色。"
,"Can not delete this character.","无法删除这个角色。"
,"You need to reach level %s.","你需要达到等级%s。"
,"Fight of Honour","荣誉之战"
,"Can not make match.","无法匹配战斗。"
,"The honour hall is now opened.","荣誉大厅已开放。"
,"Global cooling down!","公共CD冷却中。"
,"{object} is leaving {origin}, heading for {destination}.","{object}离开{origin}去往{destination}。"
,"{object} arrives to {destination} from {origin}.","{object}从{origin}来到{destination}。"
,"{object} arrives to {destination}.","{object}来到{destination}。"
,"Succeeded!","成功了！"
,"Failed.","失败了。"
,"Healed %s by %d points.","恢复%s %d点生命。"
,"Hit %s by %d points.","伤害%s %d点生命。"
,"Raised %s's max HP by %d points.","提升%s的最大生命值%d点。"
