category,origin,local
field_game_settings,"game_name","遊戲名稱"
field_game_settings,"connection_screen","歡迎文字"
field_game_settings,"solo_mode","單人模式"
field_game_settings,"global_cd","公共CD"
field_game_settings,"auto_cast_skill_cd","自動施放技能CD"
field_game_settings,"can_give_up_quests","允許放棄任務"
field_game_settings,"can_close_dialogue","是否可以關閉對話"
field_game_settings,"single_dialogue_sentence","單句傳輸模式"
field_game_settings,"auto_resume_dialogues","自動繼續對話"
field_game_settings,"default_home_key","默認位置"
field_game_settings,"start_location_key","初始位置"
field_game_settings,"default_player_home_key","玩家默認位置"
field_game_settings,"default_player_character_key","默認玩家角色"
field_game_settings,"map_room_size","地圖房間尺寸"
field_game_settings,"map_scale","地圖比例"
field_class_categories,"key","標識"
field_class_categories,"name","名稱"
field_class_categories,"desc","描述"
field_typeclasses,"key","標識"
field_typeclasses,"name","名稱"
field_typeclasses,"path","路徑"
field_typeclasses,"category","類別"
field_typeclasses,"desc","描述"
field_typeclasses,"can_loot","是否可以拾取"
field_equipment_types,"key","標識"
field_equipment_types,"name","名稱"
field_equipment_types,"desc","描述"
field_equipment_positions,"key","標識"
field_equipment_positions,"name","名稱"
field_equipment_positions,"desc","描述"
field_character_careers,"key","標識"
field_character_careers,"name","名稱"
field_character_careers,"desc","描述"
field_quest_objective_types,"key","標識"
field_quest_objective_types,"name","名稱"
field_quest_objective_types,"desc","描述"
field_event_types,"key","標識"
field_event_types,"name","名稱"
field_event_types,"desc","描述"
field_event_trigger_types,"key","標識"
field_event_trigger_types,"name","名稱"
field_event_trigger_types,"desc","描述"
field_quest_dependency_types,"key","標識"
field_quest_dependency_types,"name","名稱"
field_quest_dependency_types,"desc","描述"
field_character_attributes_info,"field","字段"
field_character_attributes_info,"key","標識"
field_character_attributes_info,"name","名稱"
field_character_attributes_info,"desc","描述"
field_equipment_attributes_info,"field","字段"
field_equipment_attributes_info,"key","標識"
field_equipment_attributes_info,"name","名稱"
field_equipment_attributes_info,"desc","描述"
field_food_attributes_info,"field","字段"
field_food_attributes_info,"key","標識"
field_food_attributes_info,"name","名稱"
field_food_attributes_info,"desc","描述"
field_world_areas,"key","標識"
field_world_areas,"name","名稱"
field_world_areas,"typeclass","類型"
field_world_areas,"desc","描述"
field_world_areas,"background","背景"
field_world_areas,"background_point","背景對應點"
field_world_areas,"corresp_map_pos","地圖對應點"
field_world_rooms,"key","標識"
field_world_rooms,"name","名稱"
field_world_rooms,"typeclass","類型"
field_world_rooms,"desc","描述"
field_world_rooms,"peaceful","和平區域"
field_world_rooms,"location","區域"
field_world_rooms,"position","位置"
field_world_rooms,"icon","圖標"
field_world_rooms,"background","背景"
field_world_exits,"key","標識"
field_world_exits,"name","名稱"
field_world_exits,"typeclass","類型"
field_world_exits,"desc","描述"
field_world_exits,"verb","動作"
field_world_exits,"location","位置"
field_world_exits,"destination","目的地"
field_world_exits,"condition","條件"
field_exit_locks,"key","標識"
field_exit_locks,"unlock_condition","解鎖條件"
field_exit_locks,"unlock_verb","解鎖動作"
field_exit_locks,"locked_desc","鎖定描述"
field_exit_locks,"auto_unlock","允許自動解鎖"
field_two_way_exits,"key","標識"
field_two_way_exits,"reverse_name","反向出口名"
field_world_objects,"key","標識"
field_world_objects,"name","名稱"
