category,origin,local
help_game_settings,"game_name","遊戲的名稱。"
help_game_settings,"connection_screen","歡迎文字會在用戶連接到遊戲的時候顯示。"
help_game_settings,"solo_mode","在單人模式下，一個玩家不會看到其他的玩家。"
help_game_settings,"global_cd","施放技能的公共CD。"
help_game_settings,"auto_cast_skill_cd","系統自動施放技能的時間間隔，必須大於公共CD。"
help_game_settings,"can_give_up_quests","如果允許放棄任務，則玩家可以主動放棄任務。"
help_game_settings,"can_close_dialogue","玩家是否可以主動關閉對話框。"
help_game_settings,"auto_resume_dialogues","如果允許自動繼續對話，玩家在登入系統時會自動繼續上次未完成的對話。"
help_game_settings,"default_home_key","所有物體的默認位置，如果物體的所在的房間被移除，則物體會自動移動到默認位置。如果為空，則設為數據表中的第一個房間。"
help_game_settings,"start_location_key","玩家初次進入系統時的位置。如果為空，則設為數據表中的第一個房間。"
help_game_settings,"default_player_home_key","玩家的默認位置，如果玩家死亡，則會自動移動到玩家默認位置。如果為空，則設為數據表中的第一個房間。"
help_game_settings,"default_player_character_key","默認選用的玩家角色。"
help_game_settings,"map_room_size","在網頁地圖中房間方塊的大小。"
help_game_settings,"map_scale","地圖比例尺寸。"
help_class_categories,"key","類別的標識，必須唯一。"
help_class_categories,"name","類別的名稱，必須唯一。"
help_class_categories,"desc","詳細信息。"
help_typeclasses,"key","類型類的標識，必須唯一。"
help_typeclasses,"name","類型類的名稱，必須唯一。"
help_typeclasses,"path","類型類的路徑，必須是這個類的實際python路徑。"
help_typeclasses,"category","該類型類所屬的類別。"
help_typeclasses,"desc","詳細信息。"
help_typeclasses,"can_loot","玩家是否可以拾取這個類型的物體。"
help_equipment_types,"key","裝備類型的標識，必須唯一。"
help_equipment_types,"name","裝備類型的名稱，必須唯一。"
help_equipment_types,"desc","詳細信息。"
help_equipment_positions,"key","裝備位置的標識，必須唯一。"
help_equipment_positions,"name","裝備位置的名稱，必須唯一。"
help_equipment_positions,"desc","詳細信息。"
help_character_careers,"key","職業的標識，必須唯一。"
help_character_careers,"name","職業的名稱，必須唯一。"
help_character_careers,"desc","詳細信息。"
help_quest_objective_types,"key","任務目標類型的標識，必須唯一。"
help_quest_objective_types,"name","任務目標類型的名稱，必須唯一。"
help_quest_objective_types,"desc","詳細信息。"
help_event_types,"key","事件類型的標識，必須唯一。"
help_event_types,"name","事件類型的名稱，必須唯一。"
help_event_types,"desc","詳細信息。"
