category,origin,local
,"Equipped!","已裝備！"
,"You have no location to look at!","你沒有看任何地方！"
,"Can not find ‘%s'.","無法找到'%s'"
,"Should appoint an exit to go.","必須指定要去的出口。"
,"TALK","對話"
,"Talk","對話"
,"Can not find it.","無法找到它。"
,"You should talk to someone.","你需要指定想要交談的對象。"
,"Can not find the one to talk.","無法找到交談的對象。"
,"You should loot something.","你需要指定想要獲取的東西。"
,"Can not find the object to loot.","無法找到獲取的東西。"
,"You should use something.","你需要指定想要使用的東西。"
,"You don't have this object.","你沒有這件東西。"
,"No result.","無效果。"
,"EQUIP","裝備"
,"Equip","裝備"
,"You should equip something.","你需要指定想要裝備的東西。"
,"You don't have this equipment.","你沒有這件裝備。"
,"Can not equip it on this position.","不能裝備在這個位置。"
,"Can not find this equipment.","無法找到這件裝備。"
,"Can not use this equipment.","無法使用這件裝備。"
,"Can not equip %s.","無法裝備%s。"
,"TAKE OFF","取下"
,"Take Off","取下"
,"You should take off something.","你需要指定想要取下的東西。"
,"Can not take off %s.","無法取下%s。"
,"Can not take off this equipment.","無法取下這件裝備。"
,"Taken off!","已取下！"
,"This skill is not ready yet!","該技能還沒有準備好！"
,"Can not find this skill!","無法找到該技能！"
,"Can not cast this skill!","無法施放該技能！"
,"This is a passive skill!","這是被動技能！"
,"CAST","施放"
,"Cast","施放"
,"You do not have this skill.","你沒有這項技能。"
,"Can not learn this skill.","無法學習這項技能。"
,"You can not cast a passive skill.","不能施放被動技能。"
,"You have already learned this skill.","你已經學習過這項技能了。"
,"You learned skill {c%s{n.","你學會了技能{c%s{n。"
,"You learned skill.","你學會了技能。"
,"Talk to","對話"
,"Get","獲取"
,"You should select a target.","你需要指定一個目標。"
,"You are in another combat.","你在另一場戰鬥中。"
,"You are not in combat!","你不在戰鬥中！"
,"%s is in another combat.","%s在另一場戰鬥中。"
,"LOOT","拾取"
,"Loot","拾取"
,"Can not get more %s.","無法獲取更多%s。"
,"Can not get %s.","無法獲取%s。"
,"Can not open this exit.","無法打開通道。"
,"UNLOCK","打開"
,"Unlock","打開"
,"You should unlock something.","你需要指定打開的東西。"
,"Can not find this exit.","無法找到這個出口。"
,"Accepted quest {c%s{n.","接受任務{c%s{n。"
,"Completed quest {c%s{n.","完成任務{c%s{n。"
,"Quest {c%s{n's goals are accomplished.","任務{c%s{n目標已完成。"
,"You become {c%s{n.","你登錄了{c%s{n。"
,"HP recovered by %s.","生命回復%s。"
,"USE","使用"
,"Use","使用"
,"Can not discard this object.","無法丟棄這件物品。"
,"DISCARD","丟棄"
,"Discard","丟棄"
,"Moving to %s …","移動到%s。。。"
,"You died.","你死了。"
,"You are reborn at {c%s{n.","你在{c%s{n重生了。"
,"You will be reborn at {c%(p)s{n in {c%(s)s{n seconds.","你將在{c%(s)s{n秒後在{c%(p)s{n重生。"
,"Incorrect username or password.","錯誤的用戶名或密碼。"
,"ATTACK","攻擊"
,"Attack","攻擊"
,"You are died.","你已經死了。"
,"%s is died.","%s已經死了。"
,"You can not attack %s.","你無法攻擊%s。"
,"Kill","殺死"
,"{c%s upgraded to level %s.{n","{c%s升到%s級。{n"
,"No effect.","沒有效果。"
,"Can not find this quest.","無法找到該任務。"
,"Can not give up this quest.","無法放棄該任務。"
,"Given up!","已放棄！"
,"GIVE UP","放棄"
