dialogue,sentence,speaker,content,next,condition,action
dlg_01,1,n,Can I help you?,"2,5",,
dlg_01,2,p,Where am I?,,,
dlg_01,3,n,You are in an example game world of Muddery. You can start your adventure from here. For more information please visit {gwww.muddery.org{n.,,,
dlg_01,4,p,Thank you!,-1,,
dlg_01,5,p,What can you do?,,,
dlg_01,6,n,"If you are wounded, I can heal you. And I can poison you.","7,10,12",,
dlg_01,7,p,"Heal me, please!","8,9",,
dlg_01,8,n,You don’t need heal now.,-1,is_hp_full(),
dlg_01,9,n,Your HP is full now!,-1,not is_hp_full(),recover_hp()
dlg_01,10,p,Please poison me!,,,
dlg_01,11,n,As you wish.,-1,,poison()
dlg_01,12,p,It’s great! Bye bye!,-1,,
