dialogue,dependency,type
dlg_colorfulworld_wu_01,quest_find_guardhouse_key,1
dlg_colorfulworld_wu_02,quest_find_guardhouse_key,7
dlg_colorfulworld_wu_03,quest_find_guardhouse_key,6
dlg_colorfulworld_wu_04,quest_find_binder,7
dlg_colorfulworld_wu_05,quest_find_binder,6
dlg_colorfulworld_wu_06,quest_find_screws,1
dlg_colorfulworld_wu_07,quest_find_screws,7
dlg_colorfulworld_wu_08,quest_find_screws,6
dlg_colorfulworld_wu_09,quest_kill_robots,1
dlg_colorfulworld_wu_10,quest_kill_robots,7
dlg_colorfulworld_wu_11,quest_kill_robots,6
