dialogue,ordinal,speaker,content,action,provide_quest,complete_quest
dlg_tele_dock,1,%n,"传送到码头","teleport_to(""room_dock"")",,
dlg_tele_house,1,%n,"传送到民宅","teleport_to(""room_house"")",,
dlg_tele_graveyard,1,%n,"传送到墓地","teleport_to(""room_graveyard"")",,
dlg_skill_dunt,1,%n,"学习重击","learn_skill(""skill_dunt"");set_attr(""skill"")",,
dlg_skill_strong_body,1,%n,"学习强壮体魄","learn_skill(""skill_strong_body"");set_attr(""skill"")",,
dlg_skill_powerful_heal,1,%n,"学习强效治疗","learn_skill(""skill_powerful_heal"");set_attr(""skill"")",,
dlg_learned_skill,1,%n,"你已经学习过技能了。",,,
dlg_trainer_begin,1,%n,"你想要和我切磋一下吗？",,,
dlg_trainer_fight,1,%p,"好啊，我们来比试比试！","fight_mob(""mob_trainer"")",,
dlg_trainer_cancel,1,%p,"算了，我打不过你。",,,
